x,y,,,,,,
418,1515.87,,,,,,
419,211.87,,,,,,
420,241.89,,,,,,
421,600.08,,,,,,
422,716.81,,,,,,
423,716.64,,,,,,
424,58.02,,,,,,
425,49.04,,,,,,
426,55,,,,,,
427,1254.62,,,,,,
428,1316.56,,,,,,
429,318.29,,,,,,
430,815.73,,,,,,
431,733.02,,,,,,
432,327.64,,,,,,
433,1288.41,,,,,,
434,1056.59,,,,,,
435,172.7,,,,,,
436,393.18,,,,,,
437,51.86,,,,,,
438,243.45,,,,,,
439,1323.55,,,,,,
440,114.44,,,,,,
441,1256.4,,,,,,
442,238.12,,,,,,
443,956.15,,,,,,
444,122.81,,,,,,
445,278.15,,,,,,
446,755.98,,,,,,
447,613.49,,,,,,
448,467.63,,,,,,
449,843.84,,,,,,
450,183.39,,,,,,
451,269.1,,,,,,
452,80.36,,,,,,
453,396.34,,,,,,
454,123.55,,,,,,
455,232.94,,,,,,
456,74.83,,,,,,
457,376.87,,,,,,
458,511.36,,,,,,
459,84.1,,,,,,
460,1190.29,,,,,,
461,1133.17,,,,,,
462,1254.71,,,,,,
463,881.73,,,,,,
464,1182.95,,,,,,
465,797,,,,,,
466,33.19,,,,,,
467,1125.71,,,,,,
468,1234.97,,,,,,
469,44.01,,,,,,
470,60.48,,,,,,
471,762.9,,,,,,
472,35.63,,,,,,
473,1099.55,,,,,,
474,1169.82,,,,,,
475,444.13,,,,,,
476,285.33,,,,,,
477,76.39,,,,,,
478,268.21,,,,,,
479,50.61,,,,,,
480,511.67,,,,,,
481,510.8,,,,,,
482,1090.22,,,,,,
483,123.5,,,,,,
484,203.55,,,,,,
485,47.37,,,,,,
486,222.01,,,,,,
487,98.25,,,,,,
488,606.73,,,,,,
489,1150.96,,,,,,
490,426.01,,,,,,
491,338.9,,,,,,
492,1079.03,,,,,,
493,414.11,,,,,,
494,977.32,,,,,,
495,295.53,,,,,,
496,168.83,,,,,,
497,1048.28,,,,,,
498,749.79,,,,,,
499,109.65,,,,,,
500,371.89,,,,,,
501,1415.55,,,,,,
502,859.8,,,,,,
503,992.94,,,,,,
504,50.79,,,,,,
505,1451.4,,,,,,
506,1032.44,,,,,,
507,1139.55,,,,,,
508,1321.75,,,,,,
509,898.68,,,,,,
510,1247.07,,,,,,
511,465.9,,,,,,
512,198.72,,,,,,
513,355.01,,,,,,
514,1668.21,,,,,,
515,434.66,,,,,,
516,135.41,,,,,,
517,1379.12,,,,,,
518,187.09,,,,,,
519,99,,,,,,
520,1334.25,,,,,,
521,326.41,,,,,,
522,1172.88,,,,,,
523,339.9,,,,,,
524,123.08,,,,,,
525,592.57,,,,,,
526,158.94,,,,,,
527,721.63,,,,,,
528,155.6,,,,,,
529,1400.71,,,,,,
530,390.82,,,,,,
531,73.42,,,,,,
532,390.84,,,,,,
533,1273.45,,,,,,
534,96.07,,,,,,
535,118.11,,,,,,
536,91.49,,,,,,
537,264.19,,,,,,
538,50.06,,,,,,
539,153.56,,,,,,
540,1120.84,,,,,,
541,37.36,,,,,,
542,132.57,,,,,,
