x,y,,,,,,
381,2709.15,,,,,,
382,3090,,,,,,
383,2035.84,,,,,,
384,3439.35,,,,,,
385,2912.99,,,,,,
386,3364.48,,,,,,
387,2189.52,,,,,,
388,5511.83,,,,,,
389,5671.27,,,,,,
390,4375.83,,,,,,
391,5812.55,,,,,,
392,3171.85,,,,,,
393,6297.43,,,,,,
394,2614.95,,,,,,
395,2832.22,,,,,,
396,1497.96,,,,,,
397,3885.32,,,,,,
398,3314.88,,,,,,
399,2559.76,,,,,,
400,6612.97,,,,,,
401,5775.9,,,,,,
402,3069.42,,,,,,
403,5340.97,,,,,,
404,6315.31,,,,,,
405,3276.74,,,,,,
406,1638.78,,,,,,
407,2928.33,,,,,,
408,3972.86,,,,,,
409,8096.07,,,,,,
410,5664.1,,,,,,
411,3992.08,,,,,,
412,1716.57,,,,,,
413,2671.54,,,,,,
414,3032.56,,,,,,
415,1899.97,,,,,,
416,3460.36,,,,,,
417,3432.27,,,,,,
418,4161.64,,,,,,
419,7334.35,,,,,,
420,7034.08,,,,,,
421,5353.75,,,,,,
422,2032.97,,,,,,
423,2552.29,,,,,,
424,2452.52,,,,,,
425,5366.04,,,,,,
426,3475.65,,,,,,
427,7229.41,,,,,,
428,4490.52,,,,,,
429,4050.56,,,,,,
430,7755.63,,,,,,
431,4136.15,,,,,,
432,1696.04,,,,,,
433,5572.84,,,,,,
434,7615.22,,,,,,
435,3032.4,,,,,,
436,2436.28,,,,,,
437,5777.88,,,,,,
438,2701.34,,,,,,
439,3279.04,,,,,,
440,5723.16,,,,,,
441,2467.57,,,,,,
442,4560.36,,,,,,
443,7528.91,,,,,,
444,7481.56,,,,,,
445,3474.65,,,,,,
446,3141.88,,,,,,
447,2552.59,,,,,,
448,2664.41,,,,,,
449,3360.08,,,,,,
450,7354.63,,,,,,
451,3772,,,,,,
452,3130.22,,,,,,
453,6831.56,,,,,,
454,3151.85,,,,,,
455,6060.4,,,,,,
456,2614.81,,,,,,
457,3231.07,,,,,,
458,5429.98,,,,,,
459,2474.13,,,,,,
460,2537.25,,,,,,
461,6444.56,,,,,,
462,1735.41,,,,,,
463,3563.04,,,,,,
464,6474.5,,,,,,
465,2326.46,,,,,,
466,3844.93,,,,,,
467,2250.08,,,,,,
468,3265.93,,,,,,
469,1907.69,,,,,,
470,5439.26,,,,,,
471,2363.61,,,,,,
472,5701.81,,,,,,
473,3562.43,,,,,,
474,4778.92,,,,,,
475,5650.82,,,,,,
476,2306.9,,,,,,
477,2131.89,,,,,,
478,3615.95,,,,,,
479,3710.43,,,,,,
480,7750.02,,,,,,
481,5439.72,,,,,,
482,2953.91,,,,,,
483,4790.22,,,,,,
484,7952.91,,,,,,
485,4736.93,,,,,,
486,5474.59,,,,,,
487,5126.59,,,,,,
488,6748.01,,,,,,
489,5649.36,,,,,,
490,7196.9,,,,,,
491,7595.79,,,,,,
492,5449.18,,,,,,
493,6153.9,,,,,,
494,7591.7,,,,,,
495,4092.6,,,,,,
496,5787.66,,,,,,
497,4648.81,,,,,,
498,3317.34,,,,,,
499,4512.04,,,,,,
500,7031.32,,,,,,
501,6179.59,,,,,,
502,5455.16,,,,,,
503,7583.09,,,,,,
504,2531.27,,,,,,
505,3084.4,,,,,,
506,1920.13,,,,,,
507,4208.49,,,,,,
508,1918.62,,,,,,
509,2711.85,,,,,,
510,2799.87,,,,,,
511,1425.76,,,,,,
512,1894.9,,,,,,
513,7424.86,,,,,,
514,2597.03,,,,,,
515,2939.98,,,,,,
516,4922.7,,,,,,
517,8330.75,,,,,,
518,1811.56,,,,,,
519,7856.34,,,,,,
520,7477.83,,,,,,
521,7976.79,,,,,,
522,2909.74,,,,,,
523,5860.74,,,,,,
524,2762.18,,,,,,
525,4760.87,,,,,,
526,5978.96,,,,,,
527,5618.51,,,,,,
528,6739.69,,,,,,
529,4092.52,,,,,,
530,1834.62,,,,,,
531,3046.71,,,,,,
532,4539.45,,,,,,
533,2054.93,,,,,,
534,3559,,,,,,
535,3240.91,,,,,,
536,3577.3,,,,,,
537,2751.44,,,,,,
538,1338.65,,,,,,
539,4831.12,,,,,,
540,5694.86,,,,,,
541,3218.9,,,,,,
542,1993.31,,,,,,
543,3873.85,,,,,,
544,3470.48,,,,,,
545,1794.83,,,,,,
546,4674.38,,,,,,
547,3625.65,,,,,,
548,2426.19,,,,,,
549,2829.01,,,,,,
550,2329.58,,,,,,
551,4139.87,,,,,,
552,3845.97,,,,,,
553,4856.63,,,,,,
554,3344.67,,,,,,
555,3490.73,,,,,,
556,5718.24,,,,,,
557,3171.25,,,,,,
558,2280.29,,,,,,
559,6034.94,,,,,,
560,7185.88,,,,,,
