x,y,,,,,,
491,8162.89,,,,,,
492,7242.31,,,,,,
493,4709.5,,,,,,
494,8283.67,,,,,,
495,6738.39,,,,,,
496,5157.51,,,,,,
497,4392.85,,,,,,
498,3976.2,,,,,,
499,7992.73,,,,,,
500,9508.93,,,,,,
501,6176.67,,,,,,
502,5400.4,,,,,,
503,8626.82,,,,,,
504,9266.61,,,,,,
505,7133.57,,,,,,
506,5620.32,,,,,,
507,6026.76,,,,,,
508,5331.02,,,,,,
509,5609.06,,,,,,
510,6540.23,,,,,,
511,4527.53,,,,,,
512,4933.42,,,,,,
513,8243.68,,,,,,
514,7857.51,,,,,,
515,4244.03,,,,,,
516,5975.07,,,,,,
517,9213.56,,,,,,
518,5148.23,,,,,,
519,9526.95,,,,,,
520,9547.47,,,,,,
521,6838.83,,,,,,
522,9357.65,,,,,,
523,8519.42,,,,,,
524,4810.41,,,,,,
525,5482.79,,,,,,
526,9645.69,,,,,,
527,7055.65,,,,,,
528,9419.05,,,,,,
529,9116.92,,,,,,
530,6953.89,,,,,,
531,9264.56,,,,,,
532,9489.82,,,,,,
533,9169.27,,,,,,
534,4482.97,,,,,,
535,4659.52,,,,,,
536,8399.87,,,,,,
537,5789.4,,,,,,
538,9478.96,,,,,,
539,9127.67,,,,,,
540,9414.88,,,,,,
541,4446.76,,,,,,
542,7522.31,,,,,,
543,9424.12,,,,,,
544,9524.48,,,,,,
545,9499.73,,,,,,
546,9550.65,,,,,,
547,5585.47,,,,,,
548,9092.75,,,,,,
549,9002.11,,,,,,
550,9500.15,,,,,,
551,9239.48,,,,,,
552,4657.72,,,,,,
553,6173.61,,,,,,
554,6030.1,,,,,,
555,5010.53,,,,,,
556,9331.07,,,,,,
557,9246.65,,,,,,
558,9026.02,,,,,,
559,4638.38,,,,,,
560,9101.59,,,,,,
561,9390.45,,,,,,
562,4731.82,,,,,,
563,5839.55,,,,,,
564,9547.3,,,,,,
565,8578.13,,,,,,
566,9757.04,,,,,,
567,9654.74,,,,,,
568,9417.74,,,,,,
569,9382.2,,,,,,
570,9331.54,,,,,,
571,5430.59,,,,,,
572,4584.96,,,,,,
573,6454.43,,,,,,
574,7045.69,,,,,,
575,9001.69,,,,,,
576,9542.87,,,,,,
577,5585.08,,,,,,
578,6493.16,,,,,,
579,4313.85,,,,,,
580,9094.36,,,,,,
581,9207.76,,,,,,
582,5353.11,,,,,,
583,4781.61,,,,,,
584,6265.95,,,,,,
585,5234.76,,,,,,
586,5107.69,,,,,,
587,8731.78,,,,,,
588,5108.96,,,,,,
589,7216.08,,,,,,
590,9430.96,,,,,,
591,4891.25,,,,,,
592,7765.12,,,,,,
593,7794.05,,,,,,
594,8674.76,,,,,,
595,8093.83,,,,,,
596,6516.04,,,,,,
597,4612.57,,,,,,
598,5763.23,,,,,,
599,9635.02,,,,,,
600,9298.39,,,,,,
601,9373.5,,,,,,
602,9446.13,,,,,,
603,9539,,,,,,
604,8872.25,,,,,,
605,6386.9,,,,,,
606,9254.62,,,,,,
607,7987.15,,,,,,
608,4760.49,,,,,,
609,8419.17,,,,,,
610,6319.45,,,,,,
611,8726.6,,,,,,
612,6709.9,,,,,,
613,9308.63,,,,,,
614,5214.25,,,,,,
615,9567.44,,,,,,
616,9272.22,,,,,,
617,5111.3,,,,,,
618,6410.96,,,,,,
619,7385.66,,,,,,
620,8950.18,,,,,,
621,6349.64,,,,,,
622,8499.85,,,,,,
623,8651.85,,,,,,
624,4799.55,,,,,,
625,4692.62,,,,,,
626,9120.57,,,,,,
627,7543.07,,,,,,
628,4676.04,,,,,,
629,8623.81,,,,,,
630,8050.24,,,,,,
631,9273.87,,,,,,
632,4791.93,,,,,,
633,9497.01,,,,,,
634,6152.29,,,,,,
635,8970.79,,,,,,
